,Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Type,Ontology
133,visitCode,"Indicate which longitudinal visit for the individual the data comes from, provided by the data contributor's data dictionary",,,,True,DataProperty,,Sage Bionetworks,str,Metadata,,
134,Bird,,,,,False,ValidValue,,,,Model Organism,,
135,Human,,,,,False,ValidValue,,,,Model Organism,,
136,Rodent,,,,,False,ValidValue,,,,Model Organism,,
137,CCF-BSO values,External ontology used for populating values,,,,False,Ontology,,,,Ontology,,Self
138,Genbank common names,External ontology used for populating values,,,,False,Ontology,,,,Ontology,,Self
139,HPO,,,,,False,ValidValue,,,,Ontology,,
140,Human Reference Atlas values,External ontology used for populating values,,,,False,Ontology,,,,Ontology,,Self
141,MAXO codes or labels,External ontology used for populating values,,,,False,Ontology,,,,Ontology,,Self
142,NCBI taxonomy values,External ontology used for populating values,,,,False,Ontology,,,,Ontology,,Self
143,NCI values,External ontology used for populating values,,,,False,Ontology,,,,Ontology,,Self
144,World Bank country codes,External ontology used for populating values,,,,False,Ontology,,,,Ontology,,Self
145,Not Specified,,,,,False,ValidValue,,,,Other,,
146,Not applicable,,,,,False,ValidValue,,,,Other,,
147,Not collected,,,,,False,ValidValue,,,,Other,,
148,Other,,,,,False,ValidValue,,,,Other,,
149,Other race,,,,,False,ValidValue,,,,Other,,
150,OtherAcquisitionBatchSizeUnit,"If ""other"" list units of measure",,specifyAcquisitionBatchSizeUnits,,False,ValidValue,,,,Other,,
151,OtherBatchSizeUnit,"If ""other"" list the unit of measure",,specifyBatchSizeUnits,,False,ValidValue,,Sage Bionetworks,,Other,,
152,OtherCleavageAgents,"If ""other"" is selected, list the enzyme name. ",,specifyOtherCleavageAgent,,False,ValidValue,,Sage Bionetworks,,Other,,
153,OtherControlType,"If ""other"" specify the control type",,specifyControlType,,False,ValidValue,,Sage Bionetworks,,Other,,
154,OtherConversionRatioUnits,,,,,False,ValidValue,,,,Other,,
155,OtherDatabaseName,"If ""other"" list the name of the search database",,specifyDatabaseName,,False,ValidValue,,Sage Bionetworks,,Other,,
156,OtherDatabaseSource,"If ""other"" list the name of the database source",,specifyDatabaseSource,,False,ValidValue,,Sage Bionetworks,,Other,,
157,OtherDigestionMethod,"If ""other"" list the type of digestion",,specifyDigestionMethod,,False,ValidValue,,Sage Bionetworks,,Other,,
158,OtherDnaBatchSizeUnit,"If ""other"" list unit of measure",,specifyDNABatchSizeUnit,,False,ValidValue,,Sage Bionetworks,,Other,,
159,OtherExperiementalBatchSizeUnit,,,,,False,ValidValue,,,,Other,,
160,OtherExperimentalBatchSizeUnit,"If ""other"" list units of measure",,specifyExperimentalBatchSizeUnits,,False,ValidValue,,,,Other,,
161,OtherExtractionMethod,"If ""other"" list the name of the extraction method",,specifyExtractionMethod,,False,ValidValue,,Sage Bionetworks,,Other,,
162,OtherLensVoltageUnits,"If ""other"" provide the unit of measure",,specifyLensVoltageUnits,,False,ValidValue,,Sage Bionetworks,,Other,,
163,OtherLensVoltagesUnit,,,,,False,ValidValue,,,,Other,,
164,OtherLibraryPrep,"If ""other"" list the name of the general strategy used to prepare the library",,specifyLibraryPrep,,False,ValidValue,,Sage Bionetworks,,Other,,
165,OtherLibraryPreparationMethod,"If ""other"" list the name of the library preparation methods",,specifyLibraryPreparationMethod,,False,ValidValue,,Sage Bionetworks,,Other,,
166,OtherLibraryVersion,"If ""other"" list the name of the library version",,specifyLibraryVersion,,False,ValidValue,,Sage Bionetworks,,Other,,
167,OtherMetabolomics HumanmeasurementTechnique,"If ""other"" is selected list the name of the measurement technique used",,specifyMeasurementTechnique,,False,ValidValue,,Sage Bionetworks,,Other,,
168,OtherModificationParameters,"If ""other"" is selected, list the custom modification name. We recommend using an intuitive name",,specifyOtherModificationParameters,,False,ValidValue,,Sage Bionetworks,,Other,,
169,OtherMsAnalyteType,"If ""other"" list the type of analyte ",,specifyMSAnalyteType,,False,ValidValue,,Sage Bionetworks,,Other,,
170,OtherMsAnalyzerTypeMS1,"If ""other"" is selected list the name of the mass spectrometer analyzer used",,specifyMSAnalyzerTypeMS1,,False,ValidValue,,Sage Bionetworks,,Other,,
171,OtherMsAnalyzerTypeMS2,"If ""other"" is selected list the name of the mass spectrometer analyzer used",,specifyMSAnalyzerTypeMS2,,False,ValidValue,,Sage Bionetworks,,Other,,
172,OtherMsAssayTechnique,"If ""other"" is selected list the name of the mass spectrometer technique used or the name of the proteomics assay used",,specifyMSAssayTechnique,,False,ValidValue,,Sage Bionetworks,,Other,,
173,OtherMsInstrumentModel,"If ""other"" is selected list the name of the instrument model",,specifyMSInstrumentModel,,False,ValidValue,,Sage Bionetworks,,Other,,
174,OtherPlatformLocation,"If ""other"" list the name of the platform location",,specifyPlatformLocation,,False,ValidValue,,Sage Bionetworks,,Other,,
175,OtherProcessingBatchSizeUnit,"If ""other"" list units of measure",,specifyProcessingBatchSizeUnit,,False,ValidValue,,Sage Bionetworks,,Other,,
176,OtherProteomicsAssayType,"If ""other"" is selected list the name of the type of peptide quantification used",,specifyProteomicsAssayType,,False,ValidValue,,Sage Bionetworks,,Other,,
177,OtherReadLengthUnits,"If ""other"" provide the unit of measure",,specifyReadLengthUnits,,False,ValidValue,,Sage Bionetworks,,Other,,
178,OtherRepositoryName,"If ""other"" list the name of the repository",,specifyRepositoryName,,False,ValidValue,,Sage Bionetworks,,Other,,
179,OtherRnaBatchSizeUnit,"If ""other"" list unit of measure",,specifyRNABatchSizeUnit,,False,ValidValue,,Sage Bionetworks,,Other,,
180,OtherSampleBatchSizeUnit,"If ""other"" list the unit of measure",,specifySampleBatchSizeUnits,,False,ValidValue,,Sage Bionetworks,,Other,,
181,OtherSampleIntdocution,"If ""other"" list the name of the sample introduction",,specifySampleIntroduction,,False,ValidValue,,Sage Bionetworks,,Other,,
182,OtherSampleType,"If ""other"" is selected list the type of sample",,specifySampleType,,False,ValidValue,,Sage Bionetworks,,Other,,
183,OtherSequencingBatchSizeUnit,"If ""other"" list unit of measure",,specifySequencingBatchSizeUnit,,False,ValidValue,,Sage Bionetworks,,Other,,
184,OtherTechnologyPlatformVersion,"If ""other"" list the name of the platform version",,specifyPlatformVersion,,False,ValidValue,,Sage Bionetworks,,Other,,
185,OtherTranscriptType,"If ""other"" list the transcript type",,specifyTranscriptType,,False,ValidValue,,Sage Bionetworks,,Other,,
186,OtherVaccumPressureUnits,"If ""other"" provide the unit of measure",,specifyVacuumPressueUnits,,False,ValidValue,,Sage Bionetworks,,Other,,
187,OtherVacuumPressureUnit,,,,,False,ValidValue,,,,Other,,
188,OtherYesHasIonizationSource,,,,,False,ValidValue,,,,Other,,
189,Uknown,,,,,False,ValidValue,,,,Other,,
190,"Unknown, Not collected",,,,,False,ValidValue,,,,Other,,
191,specifyAcquisitionBatchSizeUnits,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
192,specifyBatchSizeUnits,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
193,specifyControlType,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
194,specifyConversionRatioUnit,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
195,specifyDNABatchSizeUnit,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
196,specifyDatabaseName,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
197,specifyDatabaseSource,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
198,specifyDigestionMethod,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
199,specifyEnrichmentMethod,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
200,specifyExperimentalBatchSizeUnits,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
201,specifyExtractionMethod,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
202,specifyLensVoltageUnits,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
203,specifyLibraryPrep,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
204,specifyLibraryPreparationMethod,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
205,specifyLibraryVersion,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
206,specifyMSAnalyteType,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
207,specifyMSAnalyzerTypeMS1,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
208,specifyMSAnalyzerTypeMS2,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
209,specifyMSAssayTechnique,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
210,specifyMSInstrumentModel,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
211,specifyMeasurementTechnique,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
212,specifyOtherCleavageAgent,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
213,specifyOtherModificationParameters,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
214,specifyPlatformLocation,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
215,specifyPlatformVersion,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
216,specifyProcessingBatchSizeUnit,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
217,specifyProteomicsAssayType,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
218,specifyRNABatchSizeUnit,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
219,specifyReadLengthUnits,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
220,specifyRepositoryName,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
221,specifySampleBatchSizeUnits,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
222,specifySampleIntroduction,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
223,specifySampleType,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
224,specifySequencingBatchSizeUnit,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
225,specifyTranscriptType,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
226,specifyVacuumPressueUnits,Value is determined by the data contributor,,,,False,Specification,,Sage Bionetworks,,Other,String,
227,ILO,Project name,,,,False,ValidValue,,,,Project,,
228,LC,Project name,,,,False,ValidValue,,,,Project,,
229,LG,Project name,,,,False,ValidValue,,,,Project,,
230,LLFS,Project name,,,,False,ValidValue,,,,Project,,
231,Amniotic Fluid,,,,,False,ValidValue,,,,Sample Metadata,,
232,B cell,,,,,False,ValidValue,,,,Sample Metadata,,
233,Basophils,,,,,False,ValidValue,,,,Sample Metadata,,
234,Epithelium,,,,,False,ValidValue,,,,Sample Metadata,,
235,Feces,,,,,False,ValidValue,,,,Sample Metadata,,
236,Fibroblast,,,,,False,ValidValue,,,,Sample Metadata,,
237,Ileum,,,,,False,ValidValue,,,,Sample Metadata,,
238,Red Blood Cell,,,,,False,ValidValue,,,,Sample Metadata,,
239,Salivary Glands,,,,,False,ValidValue,,,,Sample Metadata,,
240,Skin of body,,,,,False,ValidValue,,,,Sample Metadata,,
241,Small intestine,,,,,False,ValidValue,,,,Sample Metadata,,
242,Spleen,,,,,False,ValidValue,,,,Sample Metadata,,
243,Stomach,,,,,False,ValidValue,,,,Sample Metadata,,
244,Thymus,,,,,False,ValidValue,,,,Sample Metadata,,
245,Trachea,,,,,False,ValidValue,,,,Sample Metadata,,
246,Tumor Tissue,,,,,False,ValidValue,,,,Sample Metadata,,
247,Urinary bladder,,,,,False,ValidValue,,,,Sample Metadata,,
248,Urine,,,,,False,ValidValue,,,,Sample Metadata,,
249,Vagina,,,,,False,ValidValue,,,,Sample Metadata,,
250,Whole blood,,,,,False,ValidValue,,,,Sample Metadata,,
251,blood,,,,,False,ValidValue,,,,Sample Metadata,,
252,brain,,,,,False,ValidValue,,,,Sample Metadata,,
253,Biospecimen human,Template used for contributing metadata to the ELITE portal,,"individualID,specimenID,specimenType,specimenAge,samplingAge,organ,tissue,tissueVolume,tissueWeight,specimenSource,nucleicAcidSource,cellType,fastingState,isPostMortem,Component",,True,Template,,,,Template,,
254,Biospecimen nonHuman,Template used for contributing metadata to the ELITE portal,,"individualID,specimenID,specimenIdSource,dataGenerationSite,specimenType,assay,specimenAge,parentSpecimenID,parentSpecimenType,laboratoryProcedure,samplingAge,organ,tissue,tissueVolume,tissueWeight,specimenSource,nucleicAcidSource,cellType,fastingState,isPostMortem,Component",,True,Template,,,,Template,,
255,Individual Human,Template used for contributing metadata to the ELITE portal,,"individualID,cohort,project,fieldCenterCode,visitCode,countryCode,consentGroupID,speciesGroup,sex,race,ethnicity,ethnicGroupCode,age,diagnosisStatus,diagnosis,Component",,True,Template,,,,Template,,
256,Individual nonHuman,Template used for contributing metadata to the ELITE portal,,"individualID,cohort,project,taxon,speciesGroup,speciesName,commonName,sex,lifeStage,speciesAge,captivityStatus,captivityDuration,Component",,True,Template,,,,Template,,
257,Metabolomics Human,Template used for contributing metadata to the ELITE portal,,"specimenID,sampleType,specifySampleType,specifyMeasurementTechnique,technologyPlatformVersion,specifyPlatformVersion,platformLocation,specifyPlatformLocation,msTarget,msAnalyzerTypeMS1,specifyMSAnalyzerTypeMS1,msAnalyzerTypeMS2,specifyMSAnalyzerTypeMS2,msAssayTechnique,specifyMSAssayTechnique,msAnalyteType,specifyMSAnalyteType,msInstrumentModel,specifyMSInstrumentModel,sampleIntroduction,specifySampleIntroduction,extractionMethod,acquisitionMode,acquisitionSoftware,acquistionSoftwareVersion,samplePrepProtocol,databaseName,specifyDatabaseName,databaseSource,specifyDatabaseSource,databaseWeblink,spectrometerFrequency,hasIonizationSource,ionProperty,vacuumPressure,vacuumPressureUnit,specifyVacuumPressueUnits,lensVoltages,lensVoltagesUnit,specifyLensVoltageUnits,gasFlowTemperature,gasFlowTemperatureUnit,hasAssayControl,controlType,specifyControlType,experiementalBatchSize,experiementalBatchSizeUnit,specifyExperimentalBatchSizeUnits,batchSize,batchSizeUnit,specifyBatchSizeUnits,batchID,batchLabel,sampleBatchID,sampleBatchSize,sampleBatchSizeUnit,specifySampleBatchSizeUnits,acquisitionBatchID,acquisitionBatchSize,acquisitionBatchSizeUnit,specifyAcquisitionBatchSizeUnits,processingBatchID,processingBatchSize,processingBatchSizeUnit,specifyProcessingBatchSizeUnit,f,Component",,True,Template,,,,Template,,
258,Microbiome,Template used for contributing metadata to the ELITE portal,,"specimenID,sampleType,specifySampleType,specifyMeasurementTechnique,technologyPlatformVersion,specifyPlatformVersion,platformLocation,specifyPlatformLocation,extractionMethod,specifyExtractionMethod,libraryBatchID,sequencingBatchID,sequencingBatchSize,sequencingBatchSizeUnit,specifySequencingBatchSizeUnit,dnaBatchID,dnaBatchSize,dnaBatchSizeUnit,specifyDNABatchSizeUnit,libraryPrep,specifyLibraryPrep,libraryPreparationMethod,specifyLibraryPreparationMethod,libraryVersion,specifyLibraryVersion,isStranded,readStrandOrigin,readLength,readLengthUnits,specifyReadLengthUnits,runType,totalReads,Component",,True,Template,,,,Template,,
259,RNAseq,Template used for contributing metadata to the ELITE portal,,"specimenID,sampleType,specifySampleType,specifyMeasurementTechnique,technologyPlatformVersion,specifyPlatformVersion,platformLocation,specifyPlatformLocation,referenceTranscriptID,repositoryName,specifyRepositoryName,transcriptType,specifyTranscriptType,resultUnit,valueReported,libraryPreparationMethod,specifyLibraryPreparationMethod,libraryVersion,specifyLibraryVersion,isStranded,readStrandOrigin,readLength,readLengthUnits,specifyReadLengthUnits,runType,totalReads,Component",,True,Template,,,,Template,,
260,Whole Genome Sequencing,Template used for contributing metadata to the ELITE portal,,"specimenID,sampleType,specifySampleType,specifyMeasurementTechnique,technologyPlatformVersion,specifyPlatformVersion,platformLocation,specifyPlatformLocation,referenceTranscriptID,repositoryName,specifyRepositoryName,transcriptType,specifyTranscriptType,resultUnit,valueReported,rnaBatchID,libraryBatchID,sequencingBatchID,libraryPrep,specifyLibraryPrep,libraryPreparationMethod,specifyLibraryPreparationMethod,libraryVersion,specifyLibraryVersion,isStranded,readStrandOrigin,readLength,readLengthUnits,specifyReadLengthUnits,runType,totalReads,Component",,True,Template,,,,Template,,
261,bsSeq,bisulfite-seq WGBS methylseq methylomics,,"specimenID,sampleType,specifySampleType,specifyMeasurementTechnique,technologyPlatformVersion,specifyPlatformVersion,platformLocation,specifyPlatformLocation,referenceTranscriptID,dnaBatchID,dnaBatchID,dnaBatchSize,dnaBatchSizeUnit,specifyDNABatchSizeUnit,libraryBatchID,libraryPrep,specifyLibraryPrep,libraryPreparationMethod,specifyLibraryPreparationMethod,libraryVersion,specifyLibraryVersion,sequencingBatchID,sequencingBatchSize,sequencingBatchSizeUnit,specifySequencingBatchSizeUnit,libraryPreparationMethod,specifyLibraryPreparationMethod,libraryVersion,specifyLibraryVersion,isStranded,readStrandOrigin,readLength,readLengthUnits,specifyReadLengthUnits,runType,totalReads,directionalBSseqLibrary,gDNAconc,lambdaDNAconc,pcrCycles,meanCoverage,conversionRatio,conversionRatioUnits,specifyConversionRatioUnit,enrichmentMethod,specifyEnrichmentMethod,Component",,True,Template,,,,Template,,
262,genotyping,Template used for contributing metadata to the ELITE portal,,"specimenID,sampleType,specifySampleType,useReagent,reagentID(s),reagentName,reagentManufacturer,reagentCatalogNumber,reagentLotNumber,reagentWeblink,reagentContact,useTreatment,treatmentID(s),treatmentName,treatmentAmountValue,treatmentAmountUnit,treatmentDurationValue,treatmentDurationUnit,treatmentTemperatureValue,treatmentTemperatureUnit,specifyMeasurementTechnique,Component",,True,Template,,,,Template,,
263,proteomics,Template used for contributing metadata to the ELITE portal,,"specimenID,sampleType,specifySampleType,specifyMeasurementTechnique,technologyPlatformVersion,specifyPlatformVersion,platformLocation,specifyPlatformLocation,msTarget,msAnalyzerTypeMS1,specifyMSAnalyzerTypeMS1,msAnalyzerTypeMS2,specifyMSAnalyzerTypeMS2,msAssayTechnique,specifyMSAssayTechnique,msAnalyteType,specifyMSAnalyteType,protoemicsAssayType,specifyProteomicsAssayType,msInstrumentModel,specifyMSInstrumentModel,digestionMethod,specifyDigestionMethod,fractionIdentifier,acquisitionMode,acquisitionSoftware,acquistionSoftwareVersion,samplePrepProtocol,databaseName,specifyDatabaseName,databaseSource,specifyDatabaseSource,databaseWeblink,spectrometerFrequency,modificationParameters,specifyOtherModificationParameters,cleavageAgents,specifyOtherCleavageAgent,fragmentMassTolerance,precursorMassTolerance,dataFile,Component",,True,Template,,,,Template,,
264,scRNAseq,Template used for contributing metadata to the ELITE portal,,"specimenID,sampleType,specifySampleType,specifyMeasurementTechnique,technologyPlatformVersion,specifyPlatformVersion,platformLocation,specifyPlatformLocation,referenceTranscriptID,repositoryName,specifyRepositoryName,transcriptType,specifyTranscriptType,resultUnit,valueReported,rnaBatchID,rnaBatchSize,rnaBatchSizeUnit,specifyRNABatchSizeUnit,libraryBatchID,sequencingBatchID,sequencingBatchSize,sequencingBatchSizeUnit,specifySequencingBatchSizeUnit,libraryPrep,specifyLibraryPrep,libraryPreparationMethod,specifyLibraryPreparationMethod,libraryVersion,specifyLibraryVersion,isStranded,readStrandOrigin,readLength,readLengthUnits,specifyReadLengthUnits,runType,totalReads,Component",,True,Template,,,,Template,,
265,AU/ml,,,,,False,ValidValue,,,,Unit,NUMERIC,
266,DK units/ml,,,,,False,ValidValue,,,,Unit,NUMERIC,
267,Days,,,,,False,ValidValue,,,,Unit,NUMERIC,
268,Hours,,,,,False,ValidValue,,,,Unit,NUMERIC,
269,IU,,,,,False,ValidValue,,,,Unit,NUMERIC,
270,IU/ml,,,,,False,ValidValue,,,,Unit,NUMERIC,
271,M,Molar,,,,False,ValidValue,,,,Unit,NUMERIC,
272,Months,,,,,False,ValidValue,,,,Unit,NUMERIC,
273,bpg/dl,,,,,False,ValidValue,,,,Unit,NUMERIC,
274,g/dl,,,,,False,ValidValue,,,,Unit,NUMERIC,
275,g/l,,,,,False,ValidValue,,,,Unit,NUMERIC,
276,gm,,,,,False,ValidValue,,,,Unit,NUMERIC,
277,iu/l,,,,,False,ValidValue,,,,Unit,NUMERIC,
278,kg,,,,,False,ValidValue,,,,Unit,NUMERIC,
279,l,,,,,False,ValidValue,,,,Unit,NUMERIC,
280,mM,,,,,False,ValidValue,,,,Unit,NUMERIC,
281,mg,,,,,False,ValidValue,,,,Unit,NUMERIC,
282,mg/dl,,,,,False,ValidValue,,,,Unit,NUMERIC,
283,mg/l,,,,,False,ValidValue,,,,Unit,NUMERIC,
284,mg/ml,,,,,False,ValidValue,,,,Unit,NUMERIC,
285,miu/ml,,,,,False,ValidValue,,,,Unit,NUMERIC,
286,ml,,,,,False,ValidValue,,,,Unit,NUMERIC,
287,nM,,,,,False,ValidValue,,,,Unit,NUMERIC,
288,ng,,,,,False,ValidValue,,,,Unit,NUMERIC,
289,ng/dl,,,,,False,ValidValue,,,,Unit,NUMERIC,
290,ng/ml,,,,,False,ValidValue,,,,Unit,NUMERIC,
291,ng/nl,,,,,False,ValidValue,,,,Unit,NUMERIC,
292,ng/ul,,,,,False,ValidValue,,,,Unit,NUMERIC,
293,nl,,,,,False,ValidValue,,,,Unit,NUMERIC,
294,pM,,,,,False,ValidValue,,,,Unit,NUMERIC,
295,pg,,,,,False,ValidValue,,,,Unit,NUMERIC,
296,pg/mg creatinine,,,,,False,ValidValue,,,,Unit,NUMERIC,
297,pg/ml,,,,,False,ValidValue,,,,Unit,NUMERIC,
298,pg/nl,,,,,False,ValidValue,,,,Unit,NUMERIC,
299,pg/ul,,,,,False,ValidValue,,,,Unit,NUMERIC,
300,pl,,,,,False,ValidValue,,,,Unit,NUMERIC,
301,uM,,,,,False,ValidValue,,,,Unit,NUMERIC,
302,ug,,,,,False,ValidValue,,,,Unit,NUMERIC,
303,ug/dl,,,,,False,ValidValue,,,,Unit,NUMERIC,
304,ug/l,,,,,False,ValidValue,,,,Unit,NUMERIC,
305,ug/ml,,,,,False,ValidValue,,,,Unit,NUMERIC,
306,ug/ul,,,,,False,ValidValue,,,,Unit,NUMERIC,
307,uiu/ml,,,,,False,ValidValue,,,,Unit,NUMERIC,
308,ul,,,,,False,ValidValue,,,,Unit,NUMERIC,
309,umol/l,,,,,False,ValidValue,,,,Unit,NUMERIC,
310,units/ml,,,,,False,ValidValue,,,,Unit,NUMERIC,
311,10x,,,,,False,ValidValue,,,,Unspecified,,
312,AFU,,,,,False,ValidValue,,,,Unspecified,,
313,AI,,,,,False,ValidValue,,,,Unspecified,,
314,AIBL pool,,,,,False,ValidValue,,,,Unspecified,,
315,Accel-NGS 2S Plus,,,,,False,ValidValue,,,,Unspecified,,
316,Accel-NGS Methyl-Seq,,,,,False,ValidValue,,,,Unspecified,,
317,Adult,,,,,False,ValidValue,,,,Unspecified,,
318,Affymetrix Genome-Wide Human SNP 5.0 Array,,,,,False,ValidValue,,,,Unspecified,,
319,Agilent 44Karray,,,,,False,ValidValue,,,,Unspecified,,
320,Aging,,,,,False,ValidValue,,,,Unspecified,,
321,American Indian or Alaska Native,,,,,False,ValidValue,,,,Unspecified,,
322,Appendix,,,,,False,ValidValue,,,,Unspecified,,
323,ArrayExpress,,,,,False,ValidValue,,,,Unspecified,,
324,BGISEQ-500,,,,,False,ValidValue,,,,Unspecified,,
325,BU,,,,,False,ValidValue,,,,Unspecified,,
326,Baker pool,,,,,False,ValidValue,,,,Unspecified,,
327,Bionano Irys,,,,,False,ValidValue,,,,Unspecified,,
328,Bone,,,,,False,ValidValue,,,,Unspecified,,
329,Bone Marrow,,,,,False,ValidValue,,,,Unspecified,,
330,Brachial lymph node,,,,,False,ValidValue,,,,Unspecified,,
331,Breast Milk,,,,,False,ValidValue,,,,Unspecified,,
332,Broad Single Cell Portal,,,,,False,ValidValue,,,,Unspecified,,
333,Bronchoalveolar Lavage Fluid,,,,,False,ValidValue,,,,Unspecified,,
334,Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS1,,,,,False,ValidValue,,,,Unspecified,,
335,Bruker Avance IIITimsTOF ProOtherMsAnalyzerTypeMS2,,,,,False,ValidValue,,,,Unspecified,,
336,CEL-seq,,,,,False,ValidValue,,,,Unspecified,,
337,CaptiveCaptivityStatus,"The duration of captivity in months for the individuals in captivity (formatted in months, ex. 72 months). note: Applicable only to animals with captivity status captive.","Unknown,Not collected,Not applicable",captivityDuration,,False,ValidValue,,"-The%20duration%20of,captivity%20duration,https://www.animalaudiograms.org/audiogram_metadata_scheme#:~:text=species%20are%20possible.-",,Unspecified,,
338,Carbohydrate,,,,,False,ValidValue,,,,Unspecified,,
339,Cardiovascular Health Study (CHS),,,,,False,ValidValue,,,,Unspecified,,
340,Cell culture supernatant,,,,,False,ValidValue,,,,Unspecified,,
341,Centenarian,,,,,False,ValidValue,,,,Unspecified,,
342,Cerebrospinal Fluid,,,,,False,ValidValue,,,,Unspecified,,
343,Cerebrospinal Fluid (CSF),,,,,False,ValidValue,,,,Unspecified,,
344,Cervical lymph nodes,,,,,False,ValidValue,,,,Unspecified,,
345,Cherry Imaging FACE Platform,,,,,False,ValidValue,,,,Unspecified,,
346,Cherry Imaging TRACE Platform,,,,,False,ValidValue,,,,Unspecified,,
347,Chromium Single Cell 3',,,,,False,ValidValue,,,,Unspecified,,
348,Chromium X,,,,,False,ValidValue,,,,Unspecified,,
349,Colon,,,,,False,ValidValue,,,,Unspecified,,
350,Colonic Lamina Propria,,,,,False,ValidValue,,,,Unspecified,,
351,Convalescent Plasma,,,,,False,ValidValue,,,,Unspecified,,
352,Cord blood,,,,,False,ValidValue,,,,Unspecified,,
353,DDA-MS,,,,,False,ValidValue,,,,Unspecified,,
354,DIA-MS,,,,,False,ValidValue,,,,Unspecified,,
355,DK,,,,,False,ValidValue,,,,Unspecified,,
356,Dendritic cell,,,,,False,ValidValue,,,,Unspecified,,
357,Denmark Family,,,,,False,ValidValue,,,,Unspecified,,
358,Dermis,,,,,False,ValidValue,,,,Unspecified,,
359,Dried Blood Spot,,,,,False,ValidValue,,,,Unspecified,,
360,ENA,,,,,False,ValidValue,,,,Unspecified,,
361,EndItDNAEndRepairKit,,,,,False,ValidValue,,,,Unspecified,,
362,Endotracheal aspirate,,,,,False,ValidValue,,,,Unspecified,,
363,Ensembl,,,,,False,ValidValue,,,,Unspecified,,
364,FALSE,,,,,False,ValidValue,,,,Unspecified,,
365,FPKM,,,,,False,ValidValue,,,,Unspecified,,
366,FlowRepository,,,,,False,ValidValue,,,,Unspecified,,
367,GEO,,,,,False,ValidValue,,,,Unspecified,,
368,GIS,,,,,False,ValidValue,,,,Unspecified,,
369,GISAID,,,,,False,ValidValue,,,,Unspecified,,
370,Gastric lamina propria,,,,,False,ValidValue,,,,Unspecified,,
371,GenBank,,,,,False,ValidValue,,,,Unspecified,,
372,GoldenWest,,,,,False,ValidValue,,,,Unspecified,,
373,HAU,,,,,False,ValidValue,,,,Unspecified,,
374,HMDB,,,,,False,ValidValue,,,,Unspecified,,
375,HPLC-MSMS,,,,,False,ValidValue,,,,Unspecified,,
376,Hispanic or latino,"A coded value specifying the self-declared ethnic origination independent of racial origination, provided by the data contributor's data dictionary",,ethnicGroupCode,,False,ValidValue,,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsfdictionary=NCI_Thesaurus&version=23.04d&code=C93563&ns=ncit&type=properties&key=1040179992&b=1&n=0&vse=null,,Unspecified,,
