Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
readLengthUnits,The units of measurement.,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",,,True,NAseq,"RNAseq,readLength",Sage Bionetworks,
readStrandOrigin,The strand from which the read originates in a strand-specific protocol,forwardreverse,,,True,NAseq,RNAseq,Sage Bionetworks,
referenceTranscriptID,The ID for the transcript/gene. Either the NCBI ID or the Ensembl ID must be provided,"Unknown,Not collected,Not applicable,Not specified",,,True,NAseq,RNAseq,Sage Bionetworks,
repositoryName,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)","ArrayExpress,Broad Single Cell Portal,dbGAP,ENA,Ensembl,FlowRepository,GenBank,GEO,GISAID,IEDB,ImmPort,MassIVE,MetaboLights,Metabolomics Workbench,MGnify,NCBI Gene,PRIDE,SRA,UniProt,Other,Unknown,Not collected,Not applicable,Not specified",,,True,NAseq,RNAseq,Sage Bionetworks,
resultUnit,The unit for the result value,"FPKM,RPKM,TPM,Not Specified",,,True,NAseq,RNAseq,Sage Bionetworks,
runType,The type of run,singleEndpairedEnd,,,True,NAseq,RNAseq,Sage Bionetworks,
sampleType,The type of sample collected,"Amniotic Fluid,Appendix,B cell,Basophils,Bone,Bone Marrow,Brachial lymph node,brain,Breast Milk,Bronchoalveolar Lavage Fluid,Carbohydrate,Cell culture supernatant,cell line,Cerebrospinal Fluid,Cervical lymph nodes,Colon,Colonic Lamina Propria,Convalescent Plasma,Cord blood,Dendritic cell,Dermis,DNA,Dried Blood Spot,Endotracheal aspirate,Epithelium,Feces,Fibroblast,Gastric lamina propria,Ileum,Inguinal lymph node,Jejunum,Kidney,Leukocytes,Lipid,Liver,Lung,Lung lymph node,Lymph node,Lymphocyte,Macrophage,Mesenteric lymph node,Monocyte,Mouse Ear,Nasal lavage fluid,Nasal Swab,Nasal Swab or Nose Specimen,Nasopharyngeal Swab Specimen,Negative Control,Neutrophil,NK cell,Not Specified,Optic Nerve,Organoids,Oropharyngeal Swab Specimen,Osteoblasts,Other,Pancreas,Pancreatic Stellate Cells,PBL,PBMC,Placenta,Plasma,Pooled Sample,Popliteal lymph node,Positive Control,Protein,Rectal Swab Specimen,Red Blood Cell,Saliva,Salivary Glands,Serum,Skin of body,Small intestine,Spleen,Sputum,Stomach,Synovial fluid,Synovial tissue,T cell,Thymus,Tonsil,Trachea,Tumor Tissue,Umbilical cord blood,Urinary bladder,Urine,Vagina,Whole blood",,,True,NAseq,RNAseq,"Sage Bionetworks,ImmPort",
specifyLibraryPreparationMethod,"If ""other"" list the name of the library preparation methods",,,,False,NAseq,"RNAseq,libraryPreparationMethod = other",Sage Bionetworks,
specifyLibraryVersion,"If ""other"" list the name of the library version",,,,False,NAseq,"RNAseq,libraryVersion = other",Sage Bionetworks,
specifyMeasurementTechnique,"If ""other"" is selected list the name of the measurement technique used",,,,False,NAseq,"RNAseq,measurementTechnique = other",Sage Bionetworks,
specifyPlatformLocation,"If ""other"" list the name of the platform location",,,,False,NAseq,"RNAseq,platformLocation = other",Sage Bionetworks,
specifyPlatformVersion,"If ""other"" list the name of the platform version",,,,False,NAseq,"RNAseq,technologyPlatformVersion = other",Sage Bionetworks,
specifyReadLengthUnits,"If ""other"" provide the unit of measure",,,,False,NAseq,"RNAseq,readLengthUnits",Sage Bionetworks,
specifyRepositoryName,"If ""other"" list the name of the repository",,,,False,NAseq,"RNAseq,repositoryName = other",Sage Bionetworks,
specifySampleType,"If ""other"" is selected list the type of sample",,,,False,NAseq,"RNAseq,sampleType = other",Sage Bionetworks,
specifyTranscriptType,"If ""other"" list the transcript type",,,,False,NAseq,"RNAseq,transcriptType = other",Sage Bionetworks,
specimenID,"Identifying string linked to a particular sample or specimen, provided by the data contributor",n/a (unique to each data contributor),,,True,NAseq,"RNAseq, Biospecimen",Sage Bionetworks,
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.","10x Visium Spatial Gene Expression,​​Affymetrix Genome-Wide Human SNP 5.0 Array,Affymetrix Genome-Wide Human SNP 6.0 Array,Affymetrix Human Gene 1.0 ST Array,Affymetrix Human Genome U133 Plus 2.0 Array,Affymetrix U133AB,Agilent 44Karray,BGISEQ-500,Bionano Irys,Cherry Imaging FACE Platform,Cherry Imaging TRACE Platform,Chromium X,EnVision 2103 Multiplate Reader,Illumina 1M,Illumina Genome Analyzer IIx,Illumina h650,Illumina HiSeq 2000,Illumina HiSeq 2500,Illumina HiSeq 3000,Illumina HiSeq 4000,Illumina HiSeq X,Illumina Human660W-Quad v1.0 BeadChip,Illumina HumanHap300,Illumina HumanMethylation450,Illumina HumanOmni1-Quadv1.0,Illumina HumanOmniExpress-24 v1.0 BeadChip,Illumina HumanOmniExpress-24 v1.2 BeadChip,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),Illumina Infinium MethylationEPIC BeadChip v2.0 (935k)Illumina MiSeq,Illumina MouseWG-6 v2.0 expression BeadChip,Illumina NextSeq 1000,Illumina NextSeq 2000,Illumina NextSeq 500,Illumina NextSeq 550,Illumina NovaSeq 6000,Illumina Omni2pt5M,Illumina Omni5M,Illumina WholeGenome DASL,Infinium HumanOmniExpressExome,LI-COR Odyssey CLx,LifeViz Infinity System,LifeViz Micro System,LTQ Orbitrap XL,Nanostring Counter,Nanostring GeoMx,Olympus DP80,Orbitrap Fusion Lumos Tribrid,PacBio RS II,PacBio Sequel II System,PacBio Sequel IIe System,Perlegen 300Karray,Promega GloMax Discover,Q Exative HF,scale,Spectramax M Series,Vectra H1 3D Imaging System,Vevo 3100 Imaging System,Zeiss LSM 980Other,OtherUnknown,Not collected,Not applicable,Not specified",,,True,NAseq,RNAseq,http://purl.obolibrary.org/obo/NCIT_C45378,
totalReads,Total number of sequencing reads from a library.,,,,True,NAseq,RNAseq,Sage Bionetworks,
transcriptType,The type of transcript reported,"lincRNA,mRNA,snRNA,OtherUnknown,Not collected,Not applicable,Not specified",,,True,NAseq,RNAseq,ImmPort,
valueReported,The count or gene count for the transcript,,,,True,NAseq,RNAseq,Sage Bionetworks,
Acknowledgement Statement,Description as worded by the data contributor - this will be displayed in the portal,,,,True,Study,,,
Grant Number,The grant number the study is associated with,,,,True,Study,,,
Methods Description,Description as worded by the data contributor - this will be displayed in the portal,,,,True,Study,,,
Program,The funding source for the study,,,,True,Study,,,
Project ,Name of the project or cohort the study belongs to,,,,True,Study,,,
Study Abbreviation,"Abbreviation for the study, assigned by the data contributor",,,,True,Study,,,
Study Code,"Unique identifier for the study, assigned by the DCC","Longevity Consortium (LC),Longevity Genomics (LG),Integrative Longevity Omics (ILO),Long Life Family Study (LLFS)",,,True,Study,,,
Study Description,Description as worded by the data contributor - this will be displayed in the portal,,,,True,Study,,,
Study Name,"Name of the study, chosen by the data contributor",,,,True,Study,,,
isStranded,Whether or not the library is stranded.,falseFalseFALSEtrueTrueTRUE,,,True,Whole Genome Sequencing,WGS,boolean,
libraryBatchID,"Library batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse","Unknown,Not collected,Not applicable,Not specified",,,True,Whole Genome Sequencing,WGS,string,
libraryPrep,The general strategy by which the library was prepared,"amplicon,cellHashing,Chromium Single Cell 3',DNALibraryConstruction,EndItDNAEndRepairKit,KapaHyperPrep,lncRNAenrichment,methylSeq,miRNAenrichment,multiome,MULTIseq,PCRfree,polyAselection,proximity ligation,rRNAdepletion,SPLITseq,STARRSeq,SureCell,totalRNA,Other,Unknown,Not collected,Not applicable,Not specified",,,True,Whole Genome Sequencing,WGS,string,
libraryPreparationMethod,Method by which library was prepared,"10x,Accel-NGS 2S Plus,Accel-NGS Methyl-Seq,CEL-seq,Drop-Seq,NEBNext,NexteraXT,Omni-ATAC,sac-seq,Smart-seq1,Smart-seq2,Smart-seq4,SMRTbell,TruSeq,Ultralow Methyl-Seq,Other,Unknown,Not collected,Not applicable,Not specified",,,True,Whole Genome Sequencing,WGS,string,
libraryVersion,"Library Version: for example, rnaSeq 10x library version","OtherUnknown,Not collected,Not applicable,Not specified",,,True,Whole Genome Sequencing,WGS,string,
measurementTechnique,The measurement technique describing the assay method,"16S rRNA gene sequencing,1D Gel,2D Gel,Array,B cell receptor repertoire sequencing assay,Cell Culture,Circular Dichroism,CyTOF,Cytometric Bead Array Assay,DNA methylation profiling assay,DNA microarray,ELISA,ELISPOT,EMSA,Exome Sequencing,Flow Cytometry,Fluorescent Antibody Procedure,Hemagglutination Inhibition,HLA Typing,HPLC,Immunoblot,Immunoprecipitation,in situ Hybridization,KIR Typing,Line Probe Assay,Liquid Chromatography,Luminex xMAP,Mass Spectrometry,Meso Scale Discovery ECL,microRNA profiling assay,Microscopy,Mixed Lymphocyte Reaction,Molecular Cloning,Nanostring,Neutralizing Antibody Titer Assay,NMR,Northern Blot,O link,Other,PCR,phage display binding assay,Protein microarray,Q-PCR,Real time polymerase chain reaction assay,RNA sequencing,Rnase Protection Assay,Sequencing,SNP microarray,SOMAscan,Southern Blot,Surface Plasmon Resonance,T cell receptor repertoire sequencing assay,TCID50,Transcription profiling assay,Transcription profiling by array,Virus Neutralization,Western Blot,Whole Genome Sequencing,Yeast Two Hybrid",,,True,Whole Genome Sequencing,WGS,string,
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor","Other,Unknown,Not collected,Not applicable,Not specified",,,True,Whole Genome Sequencing,WGS,string,
readLength,The length of the read,,,,True,Whole Genome Sequencing,WGS,number,
readLengthUnits,The units of measurement.,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",,,True,Whole Genome Sequencing,"WGS,readLength",string,
readStrandOrigin,The strand from which the read originates in a strand-specific protocol,forwardreverse,,,True,Whole Genome Sequencing,WGS,string,
referenceTranscriptID,The ID for the transcript/gene. Either the NCBI ID or the Ensembl ID must be provided,"Unknown,Not collected,Not applicable,Not specified",,,True,Whole Genome Sequencing,WGS,string,
repositoryName,"The public repository name for the transcript (for example, Ensembl or NCBI Gene)","ArrayExpress,Broad Single Cell Portal,dbGAP,ENA,Ensembl,FlowRepository,GenBank,GEO,GISAID,IEDB,ImmPort,MassIVE,MetaboLights,Metabolomics Workbench,MGnify,NCBI Gene,PRIDE,SRA,UniProt,Other,Unknown,Not collected,Not applicable,Not specified",,,True,Whole Genome Sequencing,WGS,string,
resultUnit,The unit for the result value,"FPKM,RPKM,TPM,Not Specified",,,True,Whole Genome Sequencing,WGS,string,
rnaBatchID,"Isolation batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse","Unknown,Not collected,Not applicable,Not specified",,,True,Whole Genome Sequencing,WGS,string,
runType,The type of run,singleEndpairedEnd,,,True,Whole Genome Sequencing,WGS,string,
sampleType,The type of sample collected,"Amniotic Fluid,Appendix,B cell,Basophils,Bone,Bone Marrow,Brachial lymph node,brain,Breast Milk,Bronchoalveolar Lavage Fluid,Carbohydrate,Cell culture supernatant,cell line,Cerebrospinal Fluid,Cervical lymph nodes,Colon,Colonic Lamina Propria,Convalescent Plasma,Cord blood,Dendritic cell,Dermis,DNA,Dried Blood Spot,Endotracheal aspirate,Epithelium,Feces,Fibroblast,Gastric lamina propria,Ileum,Inguinal lymph node,Jejunum,Kidney,Leukocytes,Lipid,Liver,Lung,Lung lymph node,Lymph node,Lymphocyte,Macrophage,Mesenteric lymph node,Monocyte,Mouse Ear,Nasal lavage fluid,Nasal Swab,Nasal Swab or Nose Specimen,Nasopharyngeal Swab Specimen,Negative Control,Neutrophil,NK cell,Not Specified,Optic Nerve,Organoids,Oropharyngeal Swab Specimen,Osteoblasts,Other,Pancreas,Pancreatic Stellate Cells,PBL,PBMC,Placenta,Plasma,Pooled Sample,Popliteal lymph node,Positive Control,Protein,Rectal Swab Specimen,Red Blood Cell,Saliva,Salivary Glands,Serum,Skin of body,Small intestine,Spleen,Sputum,Stomach,Synovial fluid,Synovial tissue,T cell,Thymus,Tonsil,Trachea,Tumor Tissue,Umbilical cord blood,Urinary bladder,Urine,Vagina,Whole blood",,,True,Whole Genome Sequencing,WGS,string,
sequencingBatchID,"Sequencing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse","Unknown,Not collected,Not applicable,Not specified",,,True,Whole Genome Sequencing,WGS,string,
specifyLibraryPrep,"If ""other"" list the name of the general strategy used to prepare the library",,,,False,Whole Genome Sequencing,"WGS,libraryPrep = other",string,
specifyLibraryPreparationMethod,"If ""other"" list the name of the library preparation methods",,,,False,Whole Genome Sequencing,"WGS,libraryPreparationMethod = other",string,
specifyLibraryVersion,"If ""other"" list the name of the library version",,,,False,Whole Genome Sequencing,"WGS,libraryVersion = other",string,
specifyMeasurementTechnique,"If ""other"" is selected list the name of the measurement technique used",,,,False,Whole Genome Sequencing,"WGS,measurementTechnique = other",string,
specifyPlatformLocation,"If ""other"" list the name of the platform location",,,,False,Whole Genome Sequencing,"WGS,platformLocation = other",string,
specifyPlatformVersion,"If ""other"" list the name of the platform version",,,,False,Whole Genome Sequencing,"WGS,technologyPlatformVersion = other",string,
specifyReadLengthUnits,"If ""other"" provide the unit of measure",,,,False,Whole Genome Sequencing,"WGS,readLengthUnits = other",string,
specifyRepositoryName,"If ""other"" list the name of the repository",,,,False,Whole Genome Sequencing,"WGS,repositoryName = other",string,
specifySampleType,"If ""other"" is selected list the type of sample",,,,False,Whole Genome Sequencing,"WGS,sampleType = other",string,
specifyTranscriptType,"If ""other"" list the transcript type",,,,False,Whole Genome Sequencing,"WGS,transcriptType = other",string,
specimenID,"Identifying string linked to a particular sample or specimen, provided by the data contributor",n/a (unique to each data contributor),,,True,Whole Genome Sequencing,"WGS, Biospecimen",Sage Bionetworks,
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.","10x Visium Spatial Gene Expression,​​Affymetrix Genome-Wide Human SNP 5.0 Array,Affymetrix Genome-Wide Human SNP 6.0 Array,Affymetrix Human Gene 1.0 ST Array,Affymetrix Human Genome U133 Plus 2.0 Array,Affymetrix U133AB,Agilent 44Karray,BGISEQ-500,Bionano Irys,Cherry Imaging FACE Platform,Cherry Imaging TRACE Platform,Chromium X,EnVision 2103 Multiplate Reader,Illumina 1M,Illumina Genome Analyzer IIx,Illumina h650,Illumina HiSeq 2000,Illumina HiSeq 2500,Illumina HiSeq 3000,Illumina HiSeq 4000,Illumina HiSeq X,Illumina Human660W-Quad v1.0 BeadChip,Illumina HumanHap300,Illumina HumanMethylation450,Illumina HumanOmni1-Quadv1.0,Illumina HumanOmniExpress-24 v1.0 BeadChip,Illumina HumanOmniExpress-24 v1.2 BeadChip,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),Illumina Infinium MethylationEPIC BeadChip v2.0 (935k)Illumina MiSeq,Illumina MouseWG-6 v2.0 expression BeadChip,Illumina NextSeq 1000,Illumina NextSeq 2000,Illumina NextSeq 500,Illumina NextSeq 550,Illumina NovaSeq 6000,Illumina Omni2pt5M,Illumina Omni5M,Illumina WholeGenome DASL,Infinium HumanOmniExpressExome,LI-COR Odyssey CLx,LifeViz Infinity System,LifeViz Micro System,LTQ Orbitrap XL,Nanostring Counter,Nanostring GeoMx,Olympus DP80,Orbitrap Fusion Lumos Tribrid,PacBio RS II,PacBio Sequel II System,PacBio Sequel IIe System,Perlegen 300Karray,Promega GloMax Discover,Q Exative HF,scale,Spectramax M Series,Vectra H1 3D Imaging System,Vevo 3100 Imaging System,Zeiss LSM 980Other,OtherUnknown,Not collected,Not applicable,Not specified",,,True,Whole Genome Sequencing,WGS,string,
totalReads,Total number of sequencing reads from a library.,,,,True,Whole Genome Sequencing,WGS,number,
transcriptType,The type of transcript reported,"lincRNA,mRNA,snRNA,OtherUnknown,Not collected,Not applicable,Not specified",,,True,Whole Genome Sequencing,WGS,string,
valueReported,The count or gene count for the transcript,,,,True,Whole Genome Sequencing,WGS,number,
conversionRatio,The ratio or % detailing how well the bisulfite conversion worked,,,,True,bsSeq,bsSeq,Sage Bionetworks,
conversionRatioUnits,The units of measurement.,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",,,True,bsSeq,"bsSeq,readLength",Sage Bionetworks,
directionalBSseqLibrary,Indicates whether or not the bisulfiteSeq library is directional,"True, False,Unknown,Not collected,Not applicable",,,True,bsSeq,bsSeq,Sage Bionetworks,
dnaBatchID,DNA isolation batch,"Other,Unknown,Not collected,Not applicable",,,True,bsSeq,bsSeq,Sage Bionetworks,
dnaBatchID,"DNA isolation batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse","Unknown,Not collected,Not applicable,Not specified",,,True,bsSeq,bsSeq,Sage Bionetworks,
dnaBatchSize,The number of samples,,,,True,bsSeq,bsSeq,Sage Bionetworks,
dnaBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",,,True,bsSeq,"bsSeq,dnaBatchSize",Sage Bionetworks,
enrichmentMethod,The method used for performing an enrichment of specific regions by a restriction enzyme digest,"Other,Unknown,Not collected,Not applicable",,,True,bsSeq,bsSeq,Sage Bionetworks,
gDNAconc,gDNA Concentration in ng,,,,True,bsSeq,bsSeq,Sage Bionetworks,
isStranded,Whether or not the library is stranded.,falseFalseFALSEtrueTrueTRUE,,,True,bsSeq,bsSeq,Sage Bionetworks,
lambdaDNAconc,Lambda DNA spike-in concentration in ng,,,,True,bsSeq,bsSeq,Sage Bionetworks,
libraryBatchID,"Library batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,,True,bsSeq,bsSeq,Sage Bionetworks,
libraryPrep,The general strategy by which the library was prepared,"amplicon,cellHashing,Chromium Single Cell 3',DNALibraryConstruction,EndItDNAEndRepairKit,KapaHyperPrep,lncRNAenrichment,methylSeq,miRNAenrichment,multiome,MULTIseq,PCRfree,polyAselection,proximity ligation,rRNAdepletion,SPLITseq,STARRSeq,SureCell,totalRNA,Other,Unknown,Not collected,Not applicable,Not specified",,,True,bsSeq,bsSeq,Sage Bionetworks,
libraryPreparationMethod,Method by which library was prepared,"10x,Accel-NGS 2S Plus,Accel-NGS Methyl-Seq,CEL-seq,Drop-Seq,NEBNext,NexteraXT,Omni-ATAC,sac-seq,Smart-seq1,Smart-seq2,Smart-seq4,SMRTbell,TruSeq,Ultralow Methyl-Seq,Other,Unknown,Not collected,Not applicable,Not specified",,,True,bsSeq,bsSeq,Sage Bionetworks,
libraryPreparationMethod,Method by which library was prepared,"10x,Accel-NGS 2S Plus,Accel-NGS Methyl-Seq,CEL-seq,Drop-Seq,NEBNext,NexteraXT,Omni-ATAC,sac-seq,Smart-seq1,Smart-seq2,Smart-seq4,SMRTbell,TruSeq,Ultralow Methyl-Seq,Other,Unknown,Not collected,Not applicable,Not specified",,,True,bsSeq,bsSeq,Sage Bionetworks,
libraryVersion,"Library Version: for example, rnaSeq 10x library version","OtherUnknown,Not collected,Not applicable,Not specified",,,True,bsSeq,bsSeq,Sage Bionetworks,
libraryVersion,"Library Version: for example, rnaSeq 10x library version","OtherUnknown,Not collected,Not applicable,Not specified",,,True,bsSeq,bsSeq,Sage Bionetworks,
meanCoverage,Total number of bases covered by ATAC-seq reads/size of genome,,,,True,bsSeq,bsSeq,Sage Bionetworks,
measurementTechnique,The measurement technique describing the assay method,"16S rRNA gene sequencing,1D Gel,2D Gel,Array,B cell receptor repertoire sequencing assay,Cell Culture,Circular Dichroism,CyTOF,Cytometric Bead Array Assay,DNA methylation profiling assay,DNA microarray,ELISA,ELISPOT,EMSA,Exome Sequencing,Flow Cytometry,Fluorescent Antibody Procedure,Hemagglutination Inhibition,HLA Typing,HPLC,Immunoblot,Immunoprecipitation,in situ Hybridization,KIR Typing,Line Probe Assay,Liquid Chromatography,Luminex xMAP,Mass Spectrometry,Meso Scale Discovery ECL,microRNA profiling assay,Microscopy,Mixed Lymphocyte Reaction,Molecular Cloning,Nanostring,Neutralizing Antibody Titer Assay,NMR,Northern Blot,O link,Other,PCR,phage display binding assay,Protein microarray,Q-PCR,Real time polymerase chain reaction assay,RNA sequencing,Rnase Protection Assay,Sequencing,SNP microarray,SOMAscan,Southern Blot,Surface Plasmon Resonance,T cell receptor repertoire sequencing assay,TCID50,Transcription profiling assay,Transcription profiling by array,Virus Neutralization,Western Blot,Whole Genome Sequencing,Yeast Two Hybrid",,,True,bsSeq,bsSeq ,Sage Bionetworks,
pcrCycles,Number of PCR cycles to amplify transposased DNA fragments,,,,True,bsSeq,bsSeq,Sage Bionetworks,
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor","Other,Unknown,Not collected,Not applicable,Not specified",,,True,bsSeq,bsSeq,Sage Bionetworks,
readLength,The length of the read,,,,True,bsSeq,bsSeq,Sage Bionetworks,
readLengthUnits,The units of measurement.,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",,,True,bsSeq,"bsSeq,readLength",Sage Bionetworks,
readStrandOrigin,The strand from which the read originates in a strand-specific protocol,forwardreverse,,,True,bsSeq,bsSeq,Sage Bionetworks,
referenceTranscriptID,The ID for the transcript/gene. Either the NCBI ID or the Ensembl ID must be provided,"Unknown,Not collected,Not applicable,Not specified",,,True,bsSeq,bsSeq,Sage Bionetworks,
runType,The type of run,singleEndpairedEnd,,,True,bsSeq,bsSeq,Sage Bionetworks,
sampleType,The type of sample collected,"Amniotic Fluid,Appendix,B cell,Basophils,Bone,Bone Marrow,Brachial lymph node,brain,Breast Milk,Bronchoalveolar Lavage Fluid,Carbohydrate,Cell culture supernatant,cell line,Cerebrospinal Fluid,Cervical lymph nodes,Colon,Colonic Lamina Propria,Convalescent Plasma,Cord blood,Dendritic cell,Dermis,DNA,Dried Blood Spot,Endotracheal aspirate,Epithelium,Feces,Fibroblast,Gastric lamina propria,Ileum,Inguinal lymph node,Jejunum,Kidney,Leukocytes,Lipid,Liver,Lung,Lung lymph node,Lymph node,Lymphocyte,Macrophage,Mesenteric lymph node,Monocyte,Mouse Ear,Nasal lavage fluid,Nasal Swab,Nasal Swab or Nose Specimen,Nasopharyngeal Swab Specimen,Negative Control,Neutrophil,NK cell,Not Specified,Optic Nerve,Organoids,Oropharyngeal Swab Specimen,Osteoblasts,Other,Pancreas,Pancreatic Stellate Cells,PBL,PBMC,Placenta,Plasma,Pooled Sample,Popliteal lymph node,Positive Control,Protein,Rectal Swab Specimen,Red Blood Cell,Saliva,Salivary Glands,Serum,Skin of body,Small intestine,Spleen,Sputum,Stomach,Synovial fluid,Synovial tissue,T cell,Thymus,Tonsil,Trachea,Tumor Tissue,Umbilical cord blood,Urinary bladder,Urine,Vagina,Whole blood",,,True,bsSeq,bsSeq,"Sage Bionetworks,ImmPort",
sequencingBatchID,"Sequencing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse","Unknown,Not collected,Not applicable,Not specified",,,True,bsSeq,bsSeq,Sage Bionetworks,
sequencingBatchSize,The number of samples,,,,True,bsSeq,bsSeq,Sage Bionetworks,
sequencingBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",,,True,bsSeq,"bsSeq,sequencingBatchSize",Sage Bionetworks,
specifyConversionRatioUnit,"If ""other"" list unit of measure",,,,False,bsSeq,bsSeq,Sage Bionetworks,
specifyDNABatchSizeUnit,"If ""other"" list unit of measure",,,,False,bsSeq,"bsSeq,dnaBatchSizeUnit = other",Sage Bionetworks,
specifyEnrichmentMethod,"If ""other"" list the method used for enrichment",,,,False,bsSeq,bsSeq,Sage Bionetworks,
specifyLibraryPrep,"If ""other"" list the name of the general strategy used to prepare the library",,,,False,bsSeq,"bsSeq,libraryPrep = other",Sage Bionetworks,
specifyLibraryPreparationMethod,"If ""other"" list the name of the library preparation methods",,,,False,bsSeq,"bsSeq,libraryPreparationMethod = other",Sage Bionetworks,
specifyLibraryPreparationMethod,"If ""other"" list the name of the library preparation methods",,,,False,bsSeq,"bsSeq,libraryPreparationMethod = other",Sage Bionetworks,
specifyLibraryVersion,"If ""other"" list the name of the library version",,,,False,bsSeq,"bsSeq,libraryVersion = other",Sage Bionetworks,
specifyLibraryVersion,"If ""other"" list the name of the library version",,,,False,bsSeq,"bsSeq,libraryVersion = other",Sage Bionetworks,
specifyMeasurementTechnique,"If ""other"" is selected list the name of the measurement technique used",,,,False,bsSeq,"bsSeq,measurementTechnique = other",Sage Bionetworks,
specifyPlatformLocation,"If ""other"" list the name of the platform location",,,,False,bsSeq,"bsSeq,platformLocation = other",Sage Bionetworks,
